CustomerID,CustomerName,CustomerSegment,Province,City,SignupDate
CUST0001,Customer 1,Consumer,Ontario,Calgary,2023-01-27
CUST0002,Customer 2,Small Business,Quebec,Winnipeg,2023-08-14
CUST0003,Customer 3,Corporate,Manitoba,Ottawa,2023-10-04
CUST0004,Customer 4,Corporate,Quebec,Calgary,2025-03-08
CUST0005,Customer 5,Consumer,Nova Scotia,Montreal,2024-08-31
CUST0006,Customer 6,Consumer,Manitoba,Montreal,2023-10-11
CUST0007,Customer 7,Consumer,Manitoba,Calgary,2024-04-25
CUST0008,Customer 8,Small Business,Alberta,Montreal,2024-03-28
CUST0009,Customer 9,Corporate,Manitoba,Calgary,2025-03-26
CUST0010,Customer 10,Corporate,Quebec,Vancouver,2024-10-20
CUST0011,Customer 11,Consumer,Manitoba,Calgary,2024-05-30
CUST0012,Customer 12,Small Business,Alberta,Halifax,2024-06-30
CUST0013,Customer 13,Small Business,Alberta,Calgary,2023-07-11
CUST0014,Customer 14,Consumer,Nova Scotia,Montreal,2023-02-18
CUST0015,Customer 15,Consumer,Quebec,Halifax,2024-05-26
CUST0016,Customer 16,Consumer,British Columbia,Montreal,2023-01-17
CUST0017,Customer 17,Consumer,British Columbia,Toronto,2023-06-21
CUST0018,Customer 18,Consumer,Manitoba,Toronto,2023-08-08
CUST0019,Customer 19,Consumer,Nova Scotia,Halifax,2023-06-07
CUST0020,Customer 20,Consumer,Ontario,Vancouver,2024-04-21
CUST0021,Customer 21,Corporate,Manitoba,Toronto,2023-02-15
CUST0022,Customer 22,Consumer,Nova Scotia,Calgary,2024-01-08
CUST0023,Customer 23,Consumer,Quebec,Montreal,2024-06-01
CUST0024,Customer 24,Consumer,Quebec,Toronto,2023-04-09
CUST0025,Customer 25,Consumer,Quebec,Toronto,2025-01-14
CUST0026,Customer 26,Corporate,Quebec,Vancouver,2023-02-06
CUST0027,Customer 27,Consumer,Quebec,Halifax,2023-10-07
CUST0028,Customer 28,Consumer,Nova Scotia,Halifax,2023-12-15
CUST0029,Customer 29,Corporate,Nova Scotia,Winnipeg,2024-05-11
CUST0030,Customer 30,Consumer,Alberta,Vancouver,2023-10-29
CUST0031,Customer 31,Corporate,British Columbia,Calgary,2023-06-30
CUST0032,Customer 32,Consumer,Quebec,Halifax,2024-08-29
CUST0033,Customer 33,Consumer,Ontario,Montreal,2023-04-09
CUST0034,Customer 34,Small Business,Nova Scotia,Vancouver,2024-11-30
CUST0035,Customer 35,Small Business,Ontario,Toronto,2023-04-26
CUST0036,Customer 36,Small Business,Ontario,Montreal,2023-07-10
CUST0037,Customer 37,Consumer,Ontario,Montreal,2023-09-10
CUST0038,Customer 38,Consumer,Alberta,Toronto,2023-06-10
CUST0039,Customer 39,Corporate,Nova Scotia,Vancouver,2023-09-13
