OrderLineID,OrderID,ProductID,Quantity,UnitPrice,DiscountRate,NetSalesAmount,TotalCost
LINE000001,ORD00001,PROD003,3,189.0,0.05,538.65,330.0
LINE000002,ORD00002,PROD007,2,159.0,0.15,270.3,190.0
LINE000003,ORD00003,PROD005,4,599.0,0.0,2396.0,1520.0
LINE000004,ORD00003,PROD008,2,39.0,0.1,70.2,36.0
LINE000005,ORD00004,PROD010,1,79.0,0.0,79.0,38.0
LINE000006,ORD00004,PROD004,3,249.0,0.0,747.0,420.0
LINE000007,ORD00005,PROD012,1,329.0,0.0,329.0,210.0
LINE000008,ORD00005,PROD012,3,329.0,0.0,987.0,630.0
LINE000009,ORD00006,PROD006,3,129.0,0.1,348.3,225.0
LINE000010,ORD00006,PROD005,3,599.0,0.1,1617.3,1140.0
LINE000011,ORD00007,PROD011,4,49.0,0.2,156.8,88.0
LINE000012,ORD00007,PROD006,4,129.0,0.0,516.0,300.0
LINE000013,ORD00007,PROD009,4,119.0,0.05,452.2,260.0
LINE000014,ORD00008,PROD004,5,249.0,0.2,996.0,700.0
LINE000015,ORD00009,PROD001,3,1299.0,0.05,3702.15,2760.0
LINE000016,ORD00009,PROD004,4,249.0,0.0,996.0,560.0
LINE000017,ORD00010,PROD003,3,189.0,0.0,567.0,330.0
LINE000018,ORD00010,PROD007,3,159.0,0.1,429.3,285.0
LINE000019,ORD00010,PROD005,5,599.0,0.2,2396.0,1900.0
LINE000020,ORD00011,PROD012,1,329.0,0.0,329.0,210.0
LINE000021,ORD00011,PROD008,2,39.0,0.05,74.1,36.0
LINE000022,ORD00012,PROD002,2,34.99,0.0,69.98,30.0
LINE000023,ORD00012,PROD008,3,39.0,0.0,117.0,54.0
LINE000024,ORD00012,PROD005,3,599.0,0.15,1527.45,1140.0
LINE000025,ORD00013,PROD009,4,119.0,0.15,404.6,260.0
LINE000026,ORD00013,PROD006,1,129.0,0.05,122.55,75.0
LINE000027,ORD00013,PROD010,4,79.0,0.0,316.0,152.0
LINE000028,ORD00014,PROD009,4,119.0,0.0,476.0,260.0
LINE000029,ORD00015,PROD009,2,119.0,0.0,238.0,130.0
LINE000030,ORD00015,PROD008,3,39.0,0.05,111.15,54.0
LINE000031,ORD00015,PROD005,1,599.0,0.0,599.0,380.0
LINE000032,ORD00016,PROD011,2,49.0,0.05,93.1,44.0
LINE000033,ORD00016,PROD010,2,79.0,0.1,142.2,76.0
LINE000034,ORD00016,PROD001,4,1299.0,0.0,5196.0,3680.0
LINE000035,ORD00017,PROD009,1,119.0,0.0,119.0,65.0
LINE000036,ORD00018,PROD006,2,129.0,0.05,245.1,150.0
LINE000037,ORD00019,PROD001,1,1299.0,0.05,1234.05,920.0
LINE000038,ORD00020,PROD004,5,249.0,0.1,1120.5,700.0
LINE000039,ORD00020,PROD002,5,34.99,0.1,157.46,75.0
LINE000040,ORD00020,PROD010,1,79.0,0.0,79.0,38.0
LINE000041,ORD00021,PROD006,3,129.0,0.0,387.0,225.0
LINE000042,ORD00021,PROD005,2,599.0,0.0,1198.0,760.0
LINE000043,ORD00022,PROD008,2,39.0,0.05,74.1,36.0
LINE000044,ORD00022,PROD009,1,119.0,0.15,101.15,65.0
LINE000045,ORD00023,PROD012,1,329.0,0.05,312.55,210.0
LINE000046,ORD00023,PROD004,3,249.0,0.0,747.0,420.0
LINE000047,ORD00023,PROD005,4,599.0,0.1,2156.4,1520.0
LINE000048,ORD00024,PROD008,3,39.0,0.0,117.0,54.0
LINE000049,ORD00025,PROD006,3,129.0,0.0,387.0,225.0
LINE000050,ORD00025,PROD003,2,189.0,0.1,340.2,220.0
LINE000051,ORD00026,PROD002,4,34.99,0.0,139.96,60.0
LINE000052,ORD00027,PROD009,2,119.0,0.0,238.0,130.0
LINE000053,ORD00027,PROD007,4,159.0,0.1,572.4,380.0
LINE000054,ORD00028,PROD007,1,159.0,0.0,159.0,95.0
LINE000055,ORD00028,PROD010,2,79.0,0.1,142.2,76.0
LINE000056,ORD00028,PROD003,1,189.0,0.05,179.55,110.0
LINE000057,ORD00029,PROD010,5,79.0,0.0,395.0,190.0
LINE000058,ORD00029,PROD007,3,159.0,0.2,381.6,285.0
LINE000059,ORD00030,PROD004,3,249.0,0.0,747.0,420.0
LINE000060,ORD00030,PROD010,3,79.0,0.0,237.0,114.0
LINE000061,ORD00030,PROD002,2,34.99,0.1,62.98,30.0
LINE000062,ORD00031,PROD005,3,599.0,0.05,1707.15,1140.0
LINE000063,ORD00031,PROD012,3,329.0,0.1,888.3,630.0
LINE000064,ORD00031,PROD009,1,119.0,0.05,113.05,65.0
LINE000065,ORD00032,PROD005,2,599.0,0.1,1078.2,760.0
LINE000066,ORD00033,PROD009,3,119.0,0.05,339.15,195.0
LINE000067,ORD00034,PROD010,4,79.0,0.0,316.0,152.0
LINE000068,ORD00034,PROD002,3,34.99,0.1,94.47,45.0
LINE000069,ORD00035,PROD007,5,159.0,0.0,795.0,475.0
LINE000070,ORD00035,PROD008,3,39.0,0.1,105.3,54.0
LINE000071,ORD00035,PROD005,3,599.0,0.2,1437.6,1140.0
LINE000072,ORD00036,PROD009,4,119.0,0.0,476.0,260.0
LINE000073,ORD00037,PROD011,4,49.0,0.05,186.2,88.0
LINE000074,ORD00038,PROD007,1,159.0,0.0,159.0,95.0
LINE000075,ORD00038,PROD003,4,189.0,0.1,680.4,440.0
LINE000076,ORD00039,PROD006,5,129.0,0.1,580.5,375.0
LINE000077,ORD00039,PROD005,5,599.0,0.15,2545.75,1900.0
LINE000078,ORD00039,PROD007,4,159.0,0.2,508.8,380.0
LINE000079,ORD00040,PROD002,2,34.99,0.15,59.48,30.0
LINE000080,ORD00041,PROD010,3,79.0,0.0,237.0,114.0
LINE000081,ORD00042,PROD008,4,39.0,0.0,156.0,72.0
LINE000082,ORD00042,PROD011,5,49.0,0.0,245.0,110.0
LINE000083,ORD00042,PROD011,1,49.0,0.1,44.1,22.0
LINE000084,ORD00043,PROD003,2,189.0,0.0,378.0,220.0
LINE000085,ORD00044,PROD012,4,329.0,0.0,1316.0,840.0
LINE000086,ORD00045,PROD010,4,79.0,0.1,284.4,152.0
LINE000087,ORD00046,PROD005,3,599.0,0.1,1617.3,1140.0
LINE000088,ORD00046,PROD004,3,249.0,0.05,709.65,420.0
LINE000089,ORD00047,PROD007,4,159.0,0.05,604.2,380.0
LINE000090,ORD00048,PROD001,1,1299.0,0.0,1299.0,920.0
LINE000091,ORD00048,PROD008,3,39.0,0.1,105.3,54.0
LINE000092,ORD00049,PROD007,4,159.0,0.0,636.0,380.0
LINE000093,ORD00049,PROD004,2,249.0,0.0,498.0,280.0
LINE000094,ORD00050,PROD007,2,159.0,0.15,270.3,190.0
LINE000095,ORD00051,PROD012,4,329.0,0.1,1184.4,840.0
LINE000096,ORD00051,PROD010,1,79.0,0.0,79.0,38.0
LINE000097,ORD00051,PROD011,4,49.0,0.15,166.6,88.0
LINE000098,ORD00052,PROD006,5,129.0,0.0,645.0,375.0
LINE000099,ORD00052,PROD009,3,119.0,0.05,339.15,195.0
LINE000100,ORD00052,PROD003,2,189.0,0.0,378.0,220.0
LINE000101,ORD00053,PROD012,1,329.0,0.05,312.55,210.0
LINE000102,ORD00053,PROD007,1,159.0,0.0,159.0,95.0
LINE000103,ORD00053,PROD007,5,159.0,0.05,755.25,475.0
LINE000104,ORD00054,PROD009,1,119.0,0.05,113.05,65.0
LINE000105,ORD00055,PROD012,5,329.0,0.0,1645.0,1050.0
LINE000106,ORD00055,PROD008,2,39.0,0.1,70.2,36.0
LINE000107,ORD00055,PROD005,2,599.0,0.05,1138.1,760.0
LINE000108,ORD00056,PROD009,5,119.0,0.1,535.5,325.0
LINE000109,ORD00057,PROD001,5,1299.0,0.1,5845.5,4600.0
LINE000110,ORD00057,PROD004,2,249.0,0.1,448.2,280.0
LINE000111,ORD00057,PROD001,3,1299.0,0.1,3507.3,2760.0
LINE000112,ORD00058,PROD008,3,39.0,0.05,111.15,54.0
LINE000113,ORD00058,PROD008,2,39.0,0.05,74.1,36.0
LINE000114,ORD00058,PROD006,1,129.0,0.1,116.1,75.0
LINE000115,ORD00059,PROD006,5,129.0,0.15,548.25,375.0
LINE000116,ORD00059,PROD008,1,39.0,0.0,39.0,18.0
LINE000117,ORD00060,PROD009,2,119.0,0.0,238.0,130.0
LINE000118,ORD00060,PROD003,3,189.0,0.1,510.3,330.0
LINE000119,ORD00060,PROD003,4,189.0,0.0,756.0,440.0
LINE000120,ORD00061,PROD008,5,39.0,0.1,175.5,90.0
