ReturnID,OrderID,ReturnDate,ReturnReason
RET00001,ORD00007,2025-05-07,Customer Changed Mind
RET00002,ORD00016,2025-03-09,Wrong Item
RET00003,ORD00020,2025-05-10,Damaged
RET00004,ORD00021,2025-05-11,Late Delivery
RET00005,ORD00028,2025-04-27,Wrong Item
RET00006,ORD00067,2025-02-16,Wrong Item
RET00007,ORD00110,2025-03-14,Wrong Item
RET00008,ORD00174,2025-05-17,Wrong Item
RET00009,ORD00178,2025-03-17,Damaged
RET00010,ORD00190,2025-04-09,Damaged
RET00011,ORD00219,2025-02-05,Customer Changed Mind
RET00012,ORD00288,2025-02-22,Late Delivery
RET00013,ORD00292,2025-06-11,Customer Changed Mind
RET00014,ORD00298,2025-05-20,Customer Changed Mind
RET00015,ORD00317,2025-03-22,Wrong Item
RET00016,ORD00349,2025-04-27,Late Delivery
RET00017,ORD00359,2025-03-09,Wrong Item
RET00018,ORD00374,2025-02-22,Damaged
RET00019,ORD00399,2025-02-25,Customer Changed Mind
RET00020,ORD00429,2025-06-10,Late Delivery
RET00021,ORD00452,2025-02-15,Damaged
